E	dosup	dosdw	Int
-46.38	7.17E-85	7.17E-85	5.21E-84
-46.37	7.17E-85	7.17E-85	5.22E-84
-46.36	7.17E-85	7.17E-85	5.24E-84
-46.35	7.17E-85	7.17E-85	5.25E-84
-46.34	7.17E-85	7.17E-85	5.27E-84
-46.33	7.17E-85	7.17E-85	5.28E-84
-46.32	7.17E-85	7.17E-85	5.29E-84
-46.31	7.17E-85	7.17E-85	5.31E-84
-46.3	7.17E-85	7.17E-85	5.32E-84
-46.29	7.17E-85	7.17E-85	5.34E-84
-46.28	7.17E-85	7.17E-85	5.35E-84
-46.27	7.17E-85	7.17E-85	5.37E-84
-46.26	7.17E-85	7.17E-85	5.38E-84
-46.25	7.17E-85	7.17E-85	5.39E-84
-46.24	7.17E-85	7.17E-85	5.41E-84
-46.23	7.17E-85	7.17E-85	5.42E-84
-46.22	7.17E-85	7.17E-85	5.44E-84
-46.21	7.17E-85	7.17E-85	5.45E-84
-46.2	7.17E-85	7.17E-85	5.47E-84
-46.19	7.17E-85	7.17E-85	5.48E-84
-46.18	7.17E-85	7.17E-85	5.50E-84
-46.17	7.17E-85	7.17E-85	5.51E-84
-46.16	7.17E-85	7.17E-85	5.52E-84
-46.15	7.17E-85	7.17E-85	5.54E-84
-46.14	7.17E-85	7.17E-85	5.55E-84
-46.13	7.17E-85	7.17E-85	5.57E-84
-46.12	7.17E-85	7.17E-85	5.58E-84
-46.11	7.17E-85	7.17E-85	5.60E-84
-46.1	7.17E-85	7.17E-85	5.61E-84
-46.09	7.17E-85	7.17E-85	5.62E-84
-46.08	7.17E-85	7.17E-85	5.64E-84
-46.07	7.17E-85	7.17E-85	5.65E-84
-46.06	7.17E-85	7.17E-85	5.67E-84
-46.05	7.17E-85	7.17E-85	5.68E-84
-46.04	7.17E-85	7.17E-85	5.70E-84
-46.03	7.17E-85	7.17E-85	5.71E-84
-46.02	7.17E-85	7.17E-85	5.72E-84
-46.01	7.17E-85	7.17E-85	5.74E-84
-46	7.17E-85	7.17E-85	5.75E-84
-45.99	7.17E-85	7.17E-85	5.77E-84
-45.98	7.17E-85	7.17E-85	5.78E-84
-45.97	7.17E-85	7.17E-85	5.80E-84
-45.96	7.17E-85	7.17E-85	5.81E-84
-45.95	7.17E-85	7.17E-85	5.83E-84
-45.94	7.17E-85	7.17E-85	5.84E-84
-45.93	7.17E-85	7.17E-85	5.85E-84
-45.92	7.17E-85	7.17E-85	5.87E-84
-45.91	7.17E-85	7.17E-85	5.88E-84
-45.9	7.17E-85	7.17E-85	5.90E-84
-45.89	7.17E-85	7.17E-85	5.91E-84
-45.88	7.17E-85	7.17E-85	5.93E-84
-45.87	7.17E-85	7.17E-85	5.94E-84
-45.86	7.17E-85	7.17E-85	5.95E-84
-45.85	7.17E-85	7.17E-85	5.97E-84
-45.84	7.17E-85	7.17E-85	5.98E-84
-45.83	7.17E-85	7.17E-85	6.00E-84
-45.82	7.17E-85	7.17E-85	6.01E-84
-45.81	7.17E-85	7.17E-85	6.03E-84
-45.8	7.17E-85	7.17E-85	6.04E-84
-45.79	7.17E-85	7.17E-85	6.05E-84
-45.78	7.17E-85	7.17E-85	6.07E-84
-45.77	7.17E-85	7.17E-85	6.08E-84
-45.76	7.17E-85	7.17E-85	6.10E-84
-45.75	7.17E-85	7.17E-85	6.11E-84
-45.74	7.17E-85	7.17E-85	6.13E-84
-45.73	7.17E-85	7.17E-85	6.14E-84
-45.72	7.17E-85	7.17E-85	6.16E-84
-45.71	7.17E-85	7.17E-85	6.17E-84
-45.7	7.17E-85	7.17E-85	6.18E-84
-45.69	7.17E-85	7.17E-85	6.20E-84
-45.68	7.17E-85	7.17E-85	6.21E-84
-45.67	7.17E-85	7.17E-85	6.23E-84
-45.66	7.17E-85	7.17E-85	6.24E-84
-45.65	7.17E-85	7.17E-85	6.26E-84
-45.64	7.17E-85	7.17E-85	6.27E-84
-45.63	7.17E-85	7.17E-85	6.28E-84
-45.62	7.17E-85	7.17E-85	6.30E-84
-45.61	7.17E-85	7.17E-85	6.31E-84
-45.6	7.17E-85	7.17E-85	6.33E-84
-45.59	7.17E-85	7.17E-85	6.34E-84
-45.58	7.17E-85	7.17E-85	6.36E-84
-45.57	7.17E-85	7.17E-85	6.37E-84
-45.56	7.17E-85	7.17E-85	6.38E-84
-45.55	7.17E-85	7.17E-85	6.40E-84
-45.54	7.17E-85	7.17E-85	6.41E-84
-45.53	7.17E-85	7.17E-85	6.43E-84
-45.52	7.17E-85	7.17E-85	6.44E-84
-45.51	7.17E-85	7.17E-85	6.46E-84
-45.5	7.17E-85	7.17E-85	6.47E-84
-45.49	7.17E-85	7.17E-85	6.49E-84
-45.48	7.17E-85	7.17E-85	6.50E-84
-45.47	7.17E-85	7.17E-85	6.51E-84
-45.46	7.17E-85	7.17E-85	6.53E-84
-45.45	7.17E-85	7.17E-85	6.54E-84
-45.44	7.17E-85	7.17E-85	6.56E-84
-45.43	7.17E-85	7.17E-85	6.57E-84
-45.42	7.17E-85	7.17E-85	6.59E-84
-45.41	7.17E-85	7.17E-85	6.60E-84
-45.4	7.17E-85	7.17E-85	6.61E-84
-45.39	7.17E-85	7.17E-85	6.63E-84
-45.38	7.17E-85	7.17E-85	6.64E-84
-45.37	7.17E-85	7.17E-85	6.66E-84
-45.36	7.17E-85	7.17E-85	6.67E-84
-45.35	7.17E-85	7.17E-85	6.69E-84
-45.34	7.17E-85	7.17E-85	6.70E-84
-45.33	7.17E-85	7.17E-85	6.71E-84
-45.32	7.17E-85	7.17E-85	6.73E-84
-45.31	7.17E-85	7.17E-85	6.74E-84
-45.3	7.17E-85	7.17E-85	6.76E-84
-45.29	7.17E-85	7.17E-85	6.77E-84
-45.28	7.17E-85	7.17E-85	6.79E-84
-45.27	7.17E-85	7.17E-85	6.80E-84
-45.26	7.17E-85	7.17E-85	6.82E-84
-45.25	7.17E-85	7.17E-85	6.83E-84
-45.24	7.17E-85	7.17E-85	6.84E-84
-45.23	7.17E-85	7.17E-85	6.86E-84
-45.22	7.17E-85	7.17E-85	6.87E-84
-45.21	7.17E-85	7.17E-85	6.89E-84
-45.2	7.17E-85	7.17E-85	6.90E-84
-45.19	7.17E-85	7.17E-85	6.92E-84
-45.18	7.17E-85	7.17E-85	6.93E-84
-45.17	7.17E-85	7.17E-85	6.94E-84
-45.16	7.17E-85	7.17E-85	6.96E-84
-45.15	7.17E-85	7.17E-85	6.97E-84
-45.14	7.17E-85	7.17E-85	6.99E-84
-45.13	7.17E-85	7.17E-85	7.00E-84
